latitude,longitude,is_land,is_biome,is_country,is_urban
20.82488495242425,-98.4995168750031,True,Tropical & Subtropical Moist Broadleaf Forests,Mexico,True
-3.451751519941929,-54.56393669442629,True,Tropical & Subtropical Moist Broadleaf Forests,Brazil,True
-23.49646370724957,-47.46054192877304,True,Tropical & Subtropical Moist Broadleaf Forests,Brazil,True
-16.54867768215992,-72.85277757778933,True,Deserts & Xeric Shrublands,Peru,True
-35.01086956822798,140.0643972281242,True,"Mediterranean Forests, Woodlands & Scrub",Australia,True
-14.22366709242555,-43.75370355089348,True,Tropical & Subtropical Dry Broadleaf Forests,Brazil,True
38.06349662047413,32.59794981072594,True,Temperate Broadleaf & Mixed Forests,Turkey,True
-22.81322953983346,22.03515411702966,True,Deserts & Xeric Shrublands,Botswana,True
-11.71737961430426,-57.05230862800925,True,Tropical & Subtropical Moist Broadleaf Forests,Brazil,True
-27.07860659183209,146.7192057259385,True,"Temperate Grasslands, Savannas & Shrublands",Australia,True
46.7190546579335,9.459717887642416,True,Temperate Conifer Forests,Switzerland,True
16.22639439804119,-14.07406777202994,True,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Senegal,True
16.5252514,79.2460586,True,Tropical & Subtropical Dry Broadleaf Forests,India,True
-25.51086251841673,-63.008730038517,True,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Argentina,True
26.33348412344797,-102.6598057146028,True,Deserts & Xeric Shrublands,Mexico,True
2.253234337809251,99.64904229444544,True,Tropical & Subtropical Moist Broadleaf Forests,Indonesia,True
55.60493951660946,124.9186252497191,True,Boreal Forests/Taiga,Russian Federation,True
-28.64395624575814,134.3537936567247,True,Deserts & Xeric Shrublands,Australia,True
0.0002713248354847,40.3844865637608,True,"Tropical & Subtropical Grasslands, Savannas & Shrublands",Kenya,True
-10.78139947889749,-38.35723400463867,True,Deserts & Xeric Shrublands,Brazil,True
44.08487931922483,111.1884431217673,True,Deserts & Xeric Shrublands,Mongolia,True
-24.09338219413188,-50.35383822161381,True,Tropical & Subtropical Moist Broadleaf Forests,Brazil,True
-39.7186849620437,-70.57281280568168,True,"Temperate Grasslands, Savannas & Shrublands",Argentina,True
54.43463977836075,36.36091837481211,True,Temperate Broadleaf & Mixed Forests,Russian Federation,True
